uniprot_acc	is_control_genes
A0A075B6I0	TRUE
A0A075B6I9	TRUE
A0A075B6K0	TRUE
A0A075B6K4	TRUE
A0A075B6K5	TRUE
A0A075B6Q5	TRUE
A0A075B6R2	TRUE
A0A075B6R9	TRUE
A0A075B6S2	TRUE
A0A075B6S5	TRUE
A0A075B6S6	TRUE
A0A087WSY6	TRUE
A0A087WSZ0	TRUE
A0A0A0MS15	TRUE
A0A0A0MT36	TRUE
A0A0B4J1U3	TRUE
A0A0B4J1U7	TRUE
A0A0B4J1V0	TRUE
A0A0B4J1V1	TRUE
A0A0B4J1V6	TRUE
A0A0B4J1X5	TRUE
A0A0B4J1X8	TRUE
A0A0B4J1Y8	TRUE
A0A0B4J1Y9	TRUE
A0A0C4DH24	TRUE
A0A0C4DH25	TRUE
A0A0C4DH29	TRUE
A0A0C4DH31	TRUE
A0A0C4DH34	TRUE
A0A0C4DH35	TRUE
A0A0C4DH36	TRUE
A0A0C4DH38	TRUE
A0A0C4DH42	TRUE
A0A0C4DH68	TRUE
A0A0C4DH69	TRUE
A0A0C4DH72	TRUE
A0A0G2JS06	TRUE
A0A0J9YX35	TRUE
A0A0J9YXX1	TRUE
A0M8Q6	TRUE
A0PJW6	TRUE
A1L4H1	TRUE
A2NJV5	TRUE
A5A3E0	TRUE
A5YKK6	TRUE
A6NKZ8	TRUE
B9A064	TRUE
O00151	TRUE
O00187	TRUE
O00203	TRUE
O00233	TRUE
O00244	TRUE
O00299	TRUE
O00391	TRUE
O00410	TRUE
O00429	TRUE
O00461	TRUE
O00462	TRUE
O00468	TRUE
O00533	TRUE
O00584	TRUE
O00592	TRUE
O00743	TRUE
O00750	TRUE
O14556	TRUE
O14594	TRUE
O14672	TRUE
O14745	TRUE
O14773	TRUE
O14776	TRUE
O14786	TRUE
O14791	TRUE
O14818	TRUE
O14907	TRUE
O14980	TRUE
O15031	TRUE
O15067	TRUE
O15091	TRUE
O15143	TRUE
O15144	TRUE
O15145	TRUE
O15212	TRUE
O15230	TRUE
O15231	TRUE
O15240	TRUE
O15269	TRUE
O15347	TRUE
O15371	TRUE
O15394	TRUE
O15400	TRUE
O15511	TRUE
O15523	TRUE
O43143	TRUE
O43175	TRUE
O43390	TRUE
O43396	TRUE
O43399	TRUE
O43451	TRUE
O43488	TRUE
O43504	TRUE
O43583	FALSE
O43598	FALSE
O43639	FALSE
O43707	FALSE
O43768	FALSE
O43776	FALSE
O43837	FALSE
O43852	FALSE
O43866	FALSE
O60234	FALSE
O60240	FALSE
O60294	FALSE
O60306	FALSE
O60462	FALSE
O60522	FALSE
O60610	FALSE
O60664	FALSE
O60716	FALSE
O60888	FALSE
O60927	FALSE
O75037	FALSE
O75083	FALSE
O75116	FALSE
O75131	FALSE
O75223	FALSE
O75326	FALSE
O75340	FALSE
O75347	FALSE
O75348	FALSE
O75351	FALSE
O75356	FALSE
O75366	FALSE
O75369	FALSE
O75376	FALSE
O75380	FALSE
O75390	FALSE
O75475	FALSE
O75509	FALSE
O75594	FALSE
O75608	FALSE
O75629	FALSE
O75636	FALSE
O75822	FALSE
O75832	FALSE
O75874	FALSE
O75882	FALSE
O75970	FALSE
O94760	FALSE
O94776	FALSE
O94804	FALSE
O94916	FALSE
O94919	FALSE
O95084	FALSE
O95336	FALSE
O95373	FALSE
O95445	FALSE
O95479	FALSE
O95497	FALSE
O95613	FALSE
O95678	FALSE
O95810	FALSE
O95817	FALSE
O95831	FALSE
O95967	FALSE
O95983	FALSE
P00325	FALSE
P00326	FALSE
P00338	FALSE
P00352	FALSE
P00367	FALSE
P00390	FALSE
P00441	FALSE
P00450	FALSE
P00488	FALSE
P00491	FALSE
P00492	FALSE
P00505	FALSE
P00533	FALSE
P00558	FALSE
P00568	FALSE
P00734	FALSE
P00736	FALSE
P00738	FALSE
P00739	FALSE
P00740	FALSE
P00742	FALSE
P00746	FALSE
P00747	FALSE
P00748	FALSE
P00751	FALSE
P00813	FALSE
P00915	FALSE
P00918	FALSE
P00966	FALSE
P00995	FALSE
P01008	FALSE
P01009	FALSE
P01011	FALSE
P01019	FALSE
P01023	FALSE
P01024	FALSE
P01031	FALSE
P01033	FALSE
P01034	FALSE
P01042	FALSE
P01130	FALSE
P01137	FALSE
P01303	FALSE
P01344	FALSE
P01591	FALSE
P01593	FALSE
P01594	FALSE
P01595	FALSE
P01596	FALSE
P01597	FALSE
P01599	FALSE
P01601	FALSE
P01602	FALSE
P01605	FALSE
P01608	FALSE
P01609	FALSE
P01610	FALSE
P01611	FALSE
P01612	FALSE
P01613	FALSE
P01614	FALSE
P01615	FALSE
P01616	FALSE
P01617	FALSE
P01619	FALSE
P01620	FALSE
P01621	FALSE
P01624	FALSE
P01700	FALSE
P01701	FALSE
P01702	FALSE
P01703	FALSE
P01706	FALSE
P01714	FALSE
